landmark,pp1,ss1,pp2,ss2,frame
SPEED,19.0,-,19.0,190,1700
WATTS,159,159,159,159,1700
CADENCE,,9,,51,1700
DISTANCE,0.20,-,020,0_,1700
TIME,00:47,-,00:47,00147,1700
CALORIES,4,,,4,1700
SPEED,19.0,-,0,190,1701
WATTS,159,,159,15_,1701
CADENCE,,1,U7,51,1701
DISTANCE,0.20,-,020,02_,1701
TIME,00:47,-,00.47,0047,1701
CALORIES,,,4,4,1701
SPEED,19.0,-,,190,1702
WATTS,651,,159,15_,1702
CADENCE,,111,U,51,1702
DISTANCE,0.20,-,1.20,02l,1702
TIME,00:47,-,00.47,00h7,1702
CALORIES,4,,4,4,1702
SPEED,19.0,-,19.0,190,1703
WATTS,159,,159,15_,1703
CADENCE,57,_1,LT,51,1703
DISTANCE,120,-,1.20,02_,1703
TIME,00:47,-,00:47,00147,1703
CALORIES,4,,,4,1703
SPEED,19.0,-,061,190,1704
WATTS,159,159,159,159,1704
CADENCE,,11,U7,51,1704
DISTANCE,120,-,120,021,1704
TIME,00:47,-,00.47,0047,1704
CALORIES,4,,4,4,1704
SPEED,19.0,-,0,190,1705
WATTS,651,,651,15_,1705
CADENCE,5,1,U,51,1705
DISTANCE,0.2.1,-,20,02_,1705
TIME,00:47,-,00.47,0047,1705
CALORIES,4,,3,4,1705
SPEED,19.0,-,19.0,190,1706
WATTS,159,,651,15_,1706
CADENCE,,51,,51,1706
DISTANCE,0.21,-,20,02_,1706
TIME,00:47,-,00:47,00147,1706
CALORIES,4,,h,4,1706
SPEED,19.0,-,3.0,190,1707
WATTS,159,,159,15_,1707
CADENCE,5,_1,L,51,1707
DISTANCE,0.21,-,1.20,0_1,1707
TIME,00:47,-,6h-00,n47,1707
CALORIES,4,,4,4,1707
SPEED,19.0,-,13.0,190,1708
WATTS,159,,159,15_,1708
CADENCE,5,,,51,1708
DISTANCE,0.21,-,120,02_,1708
TIME,00:47,,00.47,00h7,1708
CALORIES,4,,4,4,1708
SPEED,19.0,-,15,190,1709
WATTS,159,,159,15_,1709
CADENCE,,1,U7,51,1709
DISTANCE,0.2,-,120,0__,1709
TIME,00:47,,00:47,00147,1709
CALORIES,4,,h,4,1709
SPEED,19.0,-,0,190,1710
WATTS,159,,159,15_,1710
CADENCE,,9,,51,1710
DISTANCE,0.21,-,120,02_,1710
TIME,00:47,,00.47,0047,1710
CALORIES,4,,4,4,1710
SPEED,19.0,-,19.0,190,1711
WATTS,159,,159,15_,1711
CADENCE,,_1,L,51,1711
DISTANCE,0.21,-,120,0__,1711
TIME,00:47,111_,00.47,n47,1711
CALORIES,,,4,4,1711
SPEED,19.0,-,,190,1712
WATTS,159,,651,15_,1712
CADENCE,5,11,,51,1712
DISTANCE,120,-,,02_,1712
TIME,00:47,-,_h-00,n47,1712
CALORIES,,,,4,1712
SPEED,19.0,-,18.8,188,1713
WATTS,159,,158,15_,1713
CADENCE,,_,50,50,1713
DISTANCE,0.21,-,120,02_,1713
TIME,00:47,-,_h00,0047,1713
CALORIES,4,,4,4,1713
SPEED,18.8,-,18.0,188,1714
WATTS,159,,158,15_,1714
CADENCE,50,,05,50,1714
DISTANCE,0.21,-,120,02_,1714
TIME,00:47,-,00.47,0047,1714
CALORIES,,,h,4,1714
SPEED,18.6,-,10.0,188,1715
WATTS,159,,158,15_,1715
CADENCE,50,1,05,50,1715
DISTANCE,0.21,-,120,0_1,1715
TIME,00:47,-,00.47,n47,1715
CALORIES,4,,h,4,1715
SPEED,18.6,-,18.6,186,1716
WATTS,150,,150,15_,1716
CADENCE,50,_1,50,50,1716
DISTANCE,0.2.1,-,120,02_,1716
TIME,00:47,-,Lh-00,n47,1716
CALORIES,4,,h,4,1716
SPEED,18.6,-,18.6,186,1717
WATTS,150,,150,15_,1717
CADENCE,50,,50,50,1717
DISTANCE,0.21,-,0.27,02_,1717
TIME,,-,00.47,0047,1717
CALORIES,,,h,4,1717
SPEED,18.6,-,18.8,188,1718
WATTS,150,,150,15_,1718
CADENCE,50,,50,50,1718
DISTANCE,0.27,-,120,02_,1718
TIME,00:47,,00.47,0047,1718
CALORIES,4,,,1,1718
SPEED,18.6,-,18.6,188,1719
WATTS,150,,150,15_,1719
CADENCE,50,_,50,50,1719
DISTANCE,0.2,-,120,0_1,1719
TIME,00:47,-,00.47,0047,1719
CALORIES,4,,4,4,1719
SPEED,18.6,-,18.6,186,1720
WATTS,150,150,150,150,1720
CADENCE,50,1,05,50,1720
DISTANCE,0.21,-,0i.c,02_,1720
TIME,00:47,-,00.47,0047,1720
CALORIES,,,h,4,1720
SPEED,18.6,-,18.6,186,1721
WATTS,150,150,150,150,1721
CADENCE,50,_,05,50,1721
DISTANCE,0.21,-,0.c,02_,1721
TIME,00:48,-,00.48,004a,1721
CALORIES,,,,4,1721
SPEED,18.6,-,18.6,186,1722
WATTS,150,,150,15_,1722
CADENCE,50,_,05,50,1722
DISTANCE,0.21,-,1.20,021,1722
TIME,00:48,-,00.48,0048,1722
CALORIES,,,,4,1722
SPEED,18.6,-,18.6,186,1723
WATTS,150,,150,15_,1723
CADENCE,50,_1,05,150,1723
DISTANCE,0.21,-,1.20,021,1723
TIME,00:48,-,00.40,0048,1723
CALORIES,,,4,4,1723
SPEED,18.6,-,10.6,186,1724
WATTS,150,,150,15_,1724
CADENCE,50,11111,05,50,1724
DISTANCE,0.21,-,1.20,0_1,1724
TIME,00:48,-,00.48,0048,1724
CALORIES,4,,4,4,1724
SPEED,18.6,-,13.6,186,1725
WATTS,150,,150,15_,1725
CADENCE,50,_,50,50,1725
DISTANCE,0.21,-,1.20,02l,1725
TIME,00:48,-,00.48,0048,1725
CALORIES,,,-,4,1725
SPEED,18.6,-,18.6,186,1726
WATTS,150,,150,15_,1726
CADENCE,50,1_,50,50,1726
DISTANCE,0.21,-,20,02_,1726
TIME,00:48,-,00.48,0048,1726
CALORIES,4,,,4,1726
SPEED,18.6,-,136,186,1727
WATTS,150,150,150,150,1727
CADENCE,50,,05,50,1727
DISTANCE,0.21,-,120,02_,1727
TIME,00:48,-,00.48,0048,1727
CALORIES,4,,,4,1727
SPEED,18.6,-,10.6,186,1728
WATTS,150,,150,1__,1728
CADENCE,50,,05,50,1728
DISTANCE,0.21,-,0.2,02_,1728
TIME,00:48,-,00.48,0048,1728
CALORIES,,,4,4,1728
SPEED,18.6,-,18.6,186,1729
WATTS,150,,150,15_,1729
CADENCE,50,_,50,90,1729
DISTANCE,120,-,120,021,1729
TIME,00:48,-,00.48,0048,1729
CALORIES,,,4,4,1729
SPEED,18.6,-,16.6,186,1730
WATTS,150,,150,15_,1730
CADENCE,50,1_1,50,50,1730
DISTANCE,0.21,-,02.1,02_,1730
TIME,00:48,-,00.48,0048,1730
CALORIES,,,4,4,1730
SPEED,18.6,-,3.51,186,1731
WATTS,150,150,150,150,1731
CADENCE,50,__,50,50,1731
DISTANCE,0.21,-,1.20,02_,1731
TIME,00:48,-,00.48,0048,1731
CALORIES,,,,4,1731
SPEED,18.6,8,18.6,186,1732
WATTS,150,,150,1_,1732
CADENCE,50,1_1,05,50,1732
DISTANCE,0.21,-,120,0__,1732
TIME,00:48,-,00.48,0048,1732
CALORIES,,,,4,1732
SPEED,18.6,-,10.6,186,1733
WATTS,150,,150,15_,1733
CADENCE,50,1,05,50,1733
DISTANCE,0.21,-,120,021,1733
TIME,00:48,-,86.00,0048,1733
CALORIES,,,h,4,1733
SPEED,18.6,-,18.6,186,1734
WATTS,150,,150,15_,1734
CADENCE,50,1_,50,50,1734
DISTANCE,0.21,-,120,021,1734
TIME,00:48,-,00.48,0048,1734
CALORIES,,,4,4,1734
SPEED,18.6,-,18.6,186,1735
WATTS,150,150,150,150,1735
CADENCE,50,__,05,50,1735
DISTANCE,0.21,-,120,02_,1735
TIME,00:48,-,8h-00,0048,1735
CALORIES,,,h,4,1735
SPEED,18.6,-,961,186,1736
WATTS,150,,150,15_,1736
CADENCE,50,_11,50,50,1736
DISTANCE,0.21,-,20,02_,1736
TIME,00:48,-,00.46,0048,1736
CALORIES,,,,4,1736
SPEED,18.6,-,15.5,186,1737
WATTS,150,,150,15_,1737
CADENCE,50,_,50,50,1737
DISTANCE,0.21,-,1.20,021,1737
TIME,00:48,-,00.48,0048,1737
CALORIES,,,4,4,1737
SPEED,18.6,-,11.6,186,1738
WATTS,150,,159,15_,1738
CADENCE,50,_,05,50,1738
DISTANCE,120,-,1.20,02_,1738
TIME,00:48,-,86.00,0048,1738
CALORIES,4,,,4,1738
SPEED,18.6,-,10.6,186,1739
WATTS,150,,150,15_,1739
CADENCE,50,_,05,50,1739
DISTANCE,0.21,-,1.20,021,1739
TIME,00:48,-,00.48,0048,1739
CALORIES,,,,4,1739
SPEED,18.6,-,18.6,186,1740
WATTS,150,,150,15_,1740
CADENCE,50,_,05,50,1740
DISTANCE,0.21,-,20,0__,1740
TIME,00:48,-,06.00,0_148,1740
CALORIES,,,,4,1740
SPEED,18.6,-,18.6,186,1741
WATTS,150,150,150,150,1741
CADENCE,50,_,50,50,1741
DISTANCE,0.21,-,Li.C,02_,1741
TIME,00:48,-,00.48,0048,1741
CALORIES,,,4,4,1741
SPEED,18.6,-,18.6,186,1742
WATTS,150,150,150,150,1742
CADENCE,50,_11,05,50,1742
DISTANCE,0.21,-,1.20,0_1,1742
TIME,00:48,,00:48,00148,1742
CALORIES,,,,4,1742
SPEED,18.6,-,13.6,186,1743
WATTS,150,150,150,150,1743
CADENCE,50,,05,50,1743
DISTANCE,0.2,-,1.20,0__,1743
TIME,00:48,-,8h-00,0048,1743
CALORIES,,,,4,1743
SPEED,18.6,-,10.5,186,1744
WATTS,150,,150,15_,1744
CADENCE,50,1_,05,50,1744
DISTANCE,0.2,-,120,0__,1744
TIME,00:48,-,00.48,0_148,1744
CALORIES,,,4,4,1744
SPEED,18.6,-,18.6,186,1745
WATTS,150,150,150,150,1745
CADENCE,50,,05,50,1745
DISTANCE,0.2,-,120,02_,1745
TIME,00:48,-,86.00,0048,1745
CALORIES,,,4,4,1745
SPEED,18.6,-,18.6,186,1746
WATTS,150,150,150,150,1746
CADENCE,50,_111,05,50,1746
DISTANCE,0.21,-,120,0_1,1746
TIME,00:48,-,00.48,0048,1746
CALORIES,,,4,4,1746
SPEED,18.6,-,18.6,186,1747
WATTS,150,,150,15_,1747
CADENCE,50,,50,50,1747
DISTANCE,0.21,-,02.,021,1747
TIME,00:48,-,00.48,0048,1747
CALORIES,,,4,4,1747
SPEED,18.6,-,18.6,186,1748
WATTS,150,,150,15_,1748
CADENCE,50,1,05,50,1748
DISTANCE,0.21,-,20,02_,1748
TIME,00:48,-,00.48,0048,1748
CALORIES,4,,,4,1748
SPEED,18.6,-,18.6,186,1749
WATTS,150,150,150,150,1749
CADENCE,50,,05,50,1749
DISTANCE,0.21,-,Li.C,02_,1749
TIME,00:45,,6h-00,0049,1749
CALORIES,,,4,4,1749
SPEED,18.6,-,18.6,186,1750
WATTS,150,150,150,150,1750
CADENCE,50,_,05,50,1750
DISTANCE,0.21,-,1.20,0_1,1750
TIME,00:49,_1111_,8h-00,n48,1750
CALORIES,,,h,4,1750
SPEED,18.6,-,18.6,186,1751
WATTS,150,,150,15_,1751
CADENCE,50,1,50,50,1751
DISTANCE,0.21,-,20,02_,1751
TIME,00:49,-,00-49,0049,1751
CALORIES,,,4,4,1751
SPEED,18.6,-,18.6,186,1752
WATTS,150,,150,15_,1752
CADENCE,50,_11,05,50,1752
DISTANCE,0.21,-,1.20,02_,1752
TIME,00:49,-,00:49,00149,1752
CALORIES,,,4,4,1752
SPEED,18.6,-,18.6,186,1753
WATTS,150,150,150,150,1753
CADENCE,50,,05,50,1753
DISTANCE,0.21,-,0.27,02l,1753
TIME,00:49,,00:49,00149,1753
CALORIES,,,4,4,1753
SPEED,18.6,-,18.6,186,1754
WATTS,150,150,150,150,1754
CADENCE,50,1,50,50,1754
DISTANCE,0.21,-,20,02_,1754
TIME,00:49,-,66.00,0nh9,1754
CALORIES,4,,4,4,1754
SPEED,18.6,-,.6,186,1755
WATTS,150,,150,15_,1755
CADENCE,50,_1,05,50,1755
DISTANCE,0.21,-,02.1,02_,1755
TIME,00:49,,66.00,0049,1755
CALORIES,,,h,4,1755
SPEED,18.6,8,18.6,186,1756
WATTS,150,,150,15_,1756
CADENCE,50,1,05,50,1756
DISTANCE,0.21,7111_,120,021,1756
TIME,00:49,-,66.00,0049,1756
CALORIES,4,,4,4,1756
SPEED,18.6,-,16.6,186,1757
WATTS,150,150,150,150,1757
CADENCE,50,_,05,50,1757
DISTANCE,0.2,-,1.20,02_,1757
TIME,00:49,-,6h.00,0049,1757
CALORIES,,,h,4,1757
SPEED,18.6,-,18.6,186,1758
WATTS,150,,150,15_,1758
CADENCE,50,_1,50,50,1758
DISTANCE,0.2,-,1.20,0_1,1758
TIME,00:49,-,00.49,0049,1758
CALORIES,,,4,4,1758
SPEED,18.6,-,18.6,186,1759
WATTS,150,,150,15_,1759
CADENCE,50,_,05,50,1759
DISTANCE,0.2,-,20,02_,1759
TIME,00:49,-,6h.00,0049,1759
CALORIES,,,4,4,1759
SPEED,18.6,-,18.6,186,1760
WATTS,150,150,150,150,1760
CADENCE,50,,50,50,1760
DISTANCE,0.2,-,220,02_,1760
TIME,00:49,,6h 00,0049,1760
CALORIES,,,4,4,1760
SPEED,18.6,-,18.6,186,1761
WATTS,150,150,150,150,1761
CADENCE,50,,50,50,1761
DISTANCE,0.22,-,220,022,1761
TIME,00:49,,6h-00,0049,1761
CALORIES,,,4,4,1761
SPEED,18.6,-,18.6,186,1762
WATTS,150,150,150,150,1762
CADENCE,50,1,05,50,1762
DISTANCE,0.22,-,220,0_,1762
TIME,00:49,,6h 00,0049,1762
CALORIES,,,h,4,1762
SPEED,18.6,-,18.5,186,1763
WATTS,150,,150,15_,1763
CADENCE,50,1_,05,50,1763
DISTANCE,0.22,-,220,02_,1763
TIME,6h:00,,66.00,0049,1763
CALORIES,,,,4,1763
SPEED,18.6,-,18.5,186,1764
WATTS,150,150,150,150,1764
CADENCE,50,_11,05,50,1764
DISTANCE,0.22,-,022,022,1764
TIME,00:49,,6h 00,0_49,1764
CALORIES,4,,,4,1764
SPEED,18.6,-,18.6,18_,1765
WATTS,150,150,150,150,1765
CADENCE,50,,05,50,1765
DISTANCE,0.22,-,220,022,1765
TIME,00:49,,00.49,0049,1765
CALORIES,,,4,4,1765
SPEED,18.6,8,18.6,186,1766
WATTS,150,,150,15_,1766
CADENCE,50,__,05,50,1766
DISTANCE,0.22,-,022,02_,1766
TIME,00:49,,66.00,0049,1766
CALORIES,,,4,4,1766
SPEED,18.6,8,18.6,186,1767
WATTS,150,,150,15_,1767
CADENCE,50,,05,501,1767
DISTANCE,0.22,-,Li.Cc,022,1767
TIME,6h:00,-,66:00,00h9,1767
CALORIES,,,,4,1767
SPEED,18.6,-,18.5,186,1768
WATTS,150,150,150,150,1768
CADENCE,50,_,50,50,1768
DISTANCE,0.22,-,220,02_,1768
TIME,00:49,-,6h-00,0049,1768
CALORIES,,,4,4,1768
SPEED,18.6,-,18.6,186,1769
WATTS,150,,150,15_,1769
CADENCE,50,,05,50,1769
DISTANCE,0.22,-,0.22,02_,1769
TIME,00:49,-,00-49,0049,1769
CALORIES,,,4,4,1769
SPEED,18.6,-,18.6,186,1770
WATTS,150,,150,15_,1770
CADENCE,50,,05,50,1770
DISTANCE,0.22,-,220,02_,1770
TIME,00:49,-,6h 00,0049,1770
CALORIES,H,,4,4,1770
SPEED,18.6,-,18.6,186,1771
WATTS,150,150,150,150,1771
CADENCE,50,11,50,50,1771
DISTANCE,0.22,-,220,0_,1771
