landmark,pp1,ss1,pp2,ss2,frame
SPEED,2.1.2,-,21.2,212,2500
WATTS,1-,,,21_,2500
CADENCE,57,9,57,57,2500
DISTANCE,0.35,-,560,03_,2500
TIME,01:14,,01.19,0119,2500
CALORIES,,,,8,2500
SPEED,2.1.2,-,21.2,_12,2501
WATTS,14,,1-,21_,2501
CADENCE,57,_1,57,51,2501
DISTANCE,0.35,-,035,0_,2501
TIME,0.1:14,,01.14,0114,2501
CALORIES,,,,8,2501
SPEED,2.1.2,-,21.2,212,2502
WATTS,274,211,1-,211,2502
CADENCE,57,1_,57,51,2502
DISTANCE,0.35,-,0.35,03e,2502
TIME,0.1:14,,,0119,2502
CALORIES,,,,8,2502
SPEED,21.2,-,21.2,212,2503
WATTS,1-,,,21_,2503
CADENCE,57,11,57,51,2503
DISTANCE,0.35,-,560,0_,2503
TIME,0.1:14,,hI 1 0,0114,2503
CALORIES,,,,8,2503
SPEED,2.1.2,-1,212,2121,2504
WATTS,15,,1-,21_,2504
CADENCE,57,11,F-,_1,2504
DISTANCE,0.35,-,5E0,03_,2504
TIME,0.1:14,-,01.14,0119,2504
CALORIES,,,,8,2504
SPEED,21.2,-,21.2,212,2505
WATTS,274,211,-1,211,2505
CADENCE,57,11,57,51,2505
DISTANCE,0.35,-,0.35,036,2505
TIME,0.1:14,-,0.1:14,01114,2505
CALORIES,,,,8,2505
SPEED,21.2,-,1.2,212,2506
WATTS,,211,1-,211,2506
CADENCE,57,1,57,57,2506
DISTANCE,0.35,-,5E0,_3_,2506
TIME,0.1:14,-,01.14,0114,2506
CALORIES,,,,8,2506
SPEED,212,-,21.2,212,2507
WATTS,274,211,-0,211,2507
CADENCE,57,1_,15,57,2507
DISTANCE,0.35,-,5E0,03_,2507
TIME,0.1:14,-,hI 1 0,0114,2507
CALORIES,,,,8,2507
SPEED,2.1.2,-,21.2,212,2508
WATTS,374,211,1-,21_,2508
CADENCE,57,111,57,57,2508
DISTANCE,0.35,-,5E0,03_,2508
TIME,0.1:14,-,hI 10,0114,2508
CALORIES,,,,8,2508
SPEED,2.1.2,-,21.2,212,2509
WATTS,,211,1-,211,2509
CADENCE,57,_,65,57,2509
DISTANCE,0.35,-,960,03e,2509
TIME,0.71:14,-,0 1 14,0114,2509
CALORIES,,,,8,2509
SPEED,212,-,21.2,212,2510
WATTS,14,211,,21_,2510
CADENCE,,_,57,57,2510
DISTANCE,0.36,-,960,03_,2510
TIME,0.1:14,-,hI 10,01114,2510
CALORIES,,,,8,2510
SPEED,2.1.2,-,21.2,212,2511
WATTS,274,211,1-,211,2511
CADENCE,57,_,57,51,2511
DISTANCE,0.36,-,960,036,2511
TIME,01:14,-,01.14,01114,2511
CALORIES,,,,8,2511
SPEED,2.1.2,-,2.12,212,2512
WATTS,1-,,1-,21_,2512
CADENCE,57,__,,91,2512
DISTANCE,0.36,-,960,0_,2512
TIME,0.1:14,-,01.14,0114,2512
CALORIES,,,,8,2512
SPEED,2.1.2,-,21.2,212,2513
WATTS,274,211,1-,211,2513
CADENCE,57,_1,57,57,2513
DISTANCE,0.36,-,960,036,2513
TIME,0.1:14,-,hI :1 0,01114,2513
CALORIES,,,,8,2513
SPEED,2.1.2,-,21.2,21_,2514
WATTS,7-,,,21_,2514
CADENCE,57,_1,,97,2514
DISTANCE,0.36,-,9E0,03_,2514
TIME,0.1:14,-,hI: 0,01114,2514
CALORIES,,,,8,2514
SPEED,212,-,21.2,212,2515
WATTS,1-,211,-1,21_,2515
CADENCE,5,__,57,57,2515
DISTANCE,0.36,-,960,03_,2515
TIME,01:14,-,01.14,0114,2515
CALORIES,,,,8,2515
SPEED,21.2,-,21.2,212,2516
WATTS,15,,,21_,2516
CADENCE,57,1111,57,51,2516
DISTANCE,0.36,-,960,_3_,2516
TIME,01:14,-,01.14,0114,2516
CALORIES,,,,8,2516
SPEED,2.1.2,-,21.2,212,2517
WATTS,,,,21_,2517
CADENCE,57,1,57,51,2517
DISTANCE,0.36,-,5E0,03_,2517
TIME,0.1:14,-,01.14,0114,2517
CALORIES,,,,8,2517
SPEED,212,-,21.2,212,2518
WATTS,15,,,_1_,2518
CADENCE,57,__,57,51,2518
DISTANCE,0.36,-,960,03_,2518
TIME,01:14,-,01.14,0114,2518
CALORIES,,,,8,2518
SPEED,212,-,2,21_,2519
WATTS,,211,14,21_,2519
CADENCE,57,11,65,57,2519
DISTANCE,0.36,-,0.36,03_,2519
TIME,01:14,-,hI 1 0,01114,2519
CALORIES,,,,8,2519
SPEED,212,-,2,218,2520
WATTS,179,211,662,2__,2520
CADENCE,57,11,65,5_,2520
DISTANCE,0.36,-,0.36,03_,2520
TIME,0.1:14,-,hI:M0,01114,2520
CALORIES,,,,8,2520
SPEED,812,-,61.2,218,2521
WATTS,,,239,23_,2521
CADENCE,59,,59,59,2521
DISTANCE,0.36,-,960,03_,2521
TIME,0.1:14,-,01 14,0114,2521
CALORIES,,,,8,2521
SPEED,612,-,2.18,218,2522
WATTS,,,662,23_,2522
CADENCE,59,_,65,59,2522
DISTANCE,0.36,-,960,03_,2522
TIME,0.1:14,-,HI 1 0,0114,2522
CALORIES,,,,8,2522
SPEED,612,-,TL,219,2523
WATTS,EE2,,233,23_,2523
CADENCE,59,_,65,59,2523
DISTANCE,0.36,-,960,0_,2523
TIME,0.1:14,-,hI 1 0,0114,2523
CALORIES,,,,8,2523
SPEED,612,-,2,219,2524
WATTS,233,211,233,233,2524
CADENCE,59,,55,59,2524
DISTANCE,0.36,-,960,03_,2524
TIME,07:14,-,hI 1R,l1114,2524
CALORIES,,,,8,2524
SPEED,612,-,2,219,2525
WATTS,233,,EE2,23_,2525
CADENCE,59,_,65,59,2525
DISTANCE,0.36,-,9E0,03e,2525
TIME,0.1:14,-,0 1 14,0114,2525
CALORIES,,,,8,2525
SPEED,612,-,2,219,2526
WATTS,,,233,23_,2526
CADENCE,59,_,65,59,2526
DISTANCE,0.36,-,0.36,0_,2526
TIME,01:14,-,hI 10,0114,2526
CALORIES,,,,8,2526
SPEED,612,-,51.2,219,2527
WATTS,E62,,EE2,23_,2527
CADENCE,59,11,55,59,2527
DISTANCE,0.36,-,960,036,2527
TIME,01:14,-,0.1.14,0114,2527
CALORIES,,,,8,2527
SPEED,612,-1,,_19,2528
WATTS,E62,,EE2,23_,2528
CADENCE,59,1,55,59,2528
DISTANCE,0.36,-,960,03_,2528
TIME,01:14,-,0 1.14,0114,2528
CALORIES,,,,8,2528
SPEED,612,-,51,219,2529
WATTS,233,233,233,233,2529
CADENCE,59,1,59,59,2529
DISTANCE,0.36,-,036,03_,2529
TIME,0.1:15,-,01.19,0119,2529
CALORIES,,,,8,2529
