,landmark,inference_text,inference_score,landmark_bbox,match_bbox,frame,frame_num,ssocr
0,CADENCE,35,0.9998714923858643,"[[1122.  443.]
 [1338.  443.]
 [1338.  498.]
 [1122.  498.]]","[[1182.  510.]
 [1360.  510.]
 [1360.  655.]
 [1182.  655.]]",/bucket/exercise-machina/tmpqdhq4d5e/frames/output_100.png,100,35
1,CALORIES,,,"[[1093.  798.]
 [1318.  802.]
 [1317.  860.]
 [1092.  855.]]",,/bucket/exercise-machina/tmpqdhq4d5e/frames/output_100.png,100,0
2,DISTANCE,,,"[[216. 798.]
 [448. 798.]
 [448. 848.]
 [216. 848.]]",,/bucket/exercise-machina/tmpqdhq4d5e/frames/output_100.png,100,010-.1
3,SPEED,13.0,0.9994491934776306,"[[214. 435.]
 [368. 435.]
 [368. 492.]
 [214. 492.]]","[[256. 506.]
 [524. 506.]
 [524. 651.]
 [256. 651.]]",/bucket/exercise-machina/tmpqdhq4d5e/frames/output_100.png,100,13.0
4,TIME,00:02,0.9631932973861694,"[[756. 796.]
 [882. 796.]
 [882. 856.]
 [756. 856.]]","[[ 618.  873.]
 [1005.  880.]
 [1002. 1001.]
 [ 615.  994.]]",/bucket/exercise-machina/tmpqdhq4d5e/frames/output_100.png,100,00102.
5,WATTS,62,0.9908186197280884,"[[706. 437.]
 [876. 437.]
 [876. 500.]
 [706. 500.]]","[[ 787.  497.]
 [1030.  506.]
 [1025.  655.]
 [ 782.  646.]]",/bucket/exercise-machina/tmpqdhq4d5e/frames/output_100.png,100,62
0,CADENCE,35,0.999866247177124,"[[1119.  436.]
 [1340.  441.]
 [1339.  503.]
 [1118.  498.]]","[[1184.  512.]
 [1362.  512.]
 [1362.  655.]
 [1184.  655.]]",/bucket/exercise-machina/tmpqdhq4d5e/frames/output_101.png,101,-
1,CALORIES,,,"[[1091.  796.]
 [1320.  800.]
 [1319.  862.]
 [1090.  857.]]",,/bucket/exercise-machina/tmpqdhq4d5e/frames/output_101.png,101,0
2,DISTANCE,0.01,0.9669398069381714,"[[216. 798.]
 [448. 798.]
 [448. 848.]
 [216. 848.]]","[[ 296.  871.]
 [ 653.  878.]
 [ 650. 1001.]
 [ 293.  994.]]",/bucket/exercise-machina/tmpqdhq4d5e/frames/output_101.png,101,-
3,SPEED,13.0,0.9991915822029114,"[[216. 435.]
 [370. 435.]
 [370. 492.]
 [216. 492.]]","[[258. 506.]
 [526. 506.]
 [526. 651.]
 [258. 651.]]",/bucket/exercise-machina/tmpqdhq4d5e/frames/output_101.png,101,13.0
4,TIME,00:02,0.9684901237487793,"[[754. 794.]
 [884. 794.]
 [884. 860.]
 [754. 860.]]","[[ 618.  873.]
 [1005.  880.]
 [1002. 1001.]
 [ 615.  994.]]",/bucket/exercise-machina/tmpqdhq4d5e/frames/output_101.png,101,-
5,WATTS,62,0.989213228225708,"[[707. 434.]
 [879. 439.]
 [877. 505.]
 [705. 500.]]","[[ 790.  504.]
 [1000.  504.]
 [1000.  649.]
 [ 790.  649.]]",/bucket/exercise-machina/tmpqdhq4d5e/frames/output_101.png,101,62
0,CADENCE,35,0.9998339414596558,"[[1121.  440.]
 [1338.  445.]
 [1337.  503.]
 [1120.  498.]]","[[1182.  512.]
 [1362.  512.]
 [1362.  655.]
 [1182.  655.]]",/bucket/exercise-machina/tmpqdhq4d5e/frames/output_102.png,102,_35
1,CALORIES,,,"[[1093.  798.]
 [1318.  802.]
 [1317.  860.]
 [1092.  855.]]",,/bucket/exercise-machina/tmpqdhq4d5e/frames/output_102.png,102,0
2,DISTANCE,0.01,0.9604491591453552,"[[216. 800.]
 [448. 800.]
 [448. 850.]
 [216. 850.]]","[[ 296.  873.]
 [ 653.  880.]
 [ 650. 1003.]
 [ 293.  996.]]",/bucket/exercise-machina/tmpqdhq4d5e/frames/output_102.png,102,0.01
3,SPEED,,,"[[216. 435.]
 [370. 435.]
 [370. 492.]
 [216. 492.]]",,/bucket/exercise-machina/tmpqdhq4d5e/frames/output_102.png,102,13.0
4,TIME,00:02,0.9558269381523132,"[[754. 794.]
 [884. 794.]
 [884. 860.]
 [754. 860.]]","[[ 618.  881.]
 [1004.  881.]
 [1004. 1001.]
 [ 618. 1001.]]",/bucket/exercise-machina/tmpqdhq4d5e/frames/output_102.png,102,-
5,WATTS,,,"[[708. 439.]
 [878. 439.]
 [878. 502.]
 [708. 502.]]",,/bucket/exercise-machina/tmpqdhq4d5e/frames/output_102.png,102,62
0,CADENCE,35,0.9998085498809814,"[[1123.  440.]
 [1338.  445.]
 [1337.  503.]
 [1122.  498.]]","[[1180.  512.]
 [1362.  512.]
 [1362.  655.]
 [1180.  655.]]",/bucket/exercise-machina/tmpqdhq4d5e/frames/output_103.png,103,35
1,CALORIES,,,"[[1093.  798.]
 [1318.  802.]
 [1317.  860.]
 [1092.  855.]]",,/bucket/exercise-machina/tmpqdhq4d5e/frames/output_103.png,103,0..
2,DISTANCE,0.01,0.9488552212715149,"[[216. 800.]
 [448. 800.]
 [448. 850.]
 [216. 850.]]","[[ 294.  875.]
 [ 653.  882.]
 [ 650. 1003.]
 [ 291.  996.]]",/bucket/exercise-machina/tmpqdhq4d5e/frames/output_103.png,103,0.0-1
3,SPEED,13.0,0.9990140795707703,"[[214. 433.]
 [374. 433.]
 [374. 496.]
 [214. 496.]]","[[258. 503.]
 [529. 509.]
 [526. 654.]
 [255. 648.]]",/bucket/exercise-machina/tmpqdhq4d5e/frames/output_103.png,103,13.0
4,TIME,00:02,0.9551417231559753,"[[758. 796.]
 [882. 796.]
 [882. 858.]
 [758. 858.]]","[[ 615.  875.]
 [1004.  880.]
 [1003. 1001.]
 [ 614.  996.]]",/bucket/exercise-machina/tmpqdhq4d5e/frames/output_103.png,103,0010_
5,WATTS,,,"[[708. 439.]
 [878. 439.]
 [878. 502.]
 [708. 502.]]",,/bucket/exercise-machina/tmpqdhq4d5e/frames/output_103.png,103,62
0,CADENCE,35,0.9997765421867371,"[[1121.  440.]
 [1338.  445.]
 [1337.  503.]
 [1120.  498.]]","[[1180.  512.]
 [1362.  512.]
 [1362.  655.]
 [1180.  655.]]",/bucket/exercise-machina/tmpqdhq4d5e/frames/output_104.png,104,35
