speed,watts,cadence
0.0,0,0
8.5,23,23
9.3,28,25
10.0,33,27
10.4,36,28
10.8,38,29
11.9,49,32
12.2,53,33
12.6,57,34
13.0,62,35
13.7,70,37
14.1,74,38
14.5,78,39
14.9,82,40
15.2,89,41
15.6,96,42
16.0,102,43
16.3,109,44
16.7,116,45
17.1,123,46
17.5,130,47
17.8,136,48
18.2,143,49
18.6,150,50
19.0,159,51
19.3,168,52
19.7,178,53
20.1,187,54
20.4,196,55
20.8,205,56
21.2,214,57
21.6,224,58
21.9,233,59
22.3,242,60
22.7,256,61
23.1,270,62
23.4,284,63
23.8,298,64
24.2,313,65
24.5,327,66
24.9,341,67
25.3,355,68
25.7,369,69
26.0,383,70
26.4,400,71
26.8,416,72
27.2,433,73
27.5,449,74
27.9,466,75
28.3,483,76
28.6,499,77
29.0,516,78
29.4,532,79
29.8,549,80
30.1,570,81
30.9,612,83
31.2,633,84
32.4,697,87
32.7,718,88
33.1,739,89
